PEMEX-REFINACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALOR DE LAS VENTAS INTERNAS (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepto,Unidad,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,
TOTAL,MM$,53916.84851409,54687.63087533,66387.1139933,68570.35256892,71611.52783672,62214.55654752,67608.9603582,62517.55341932,58525.86961744,59137.47092457,55098.57271764,59214.08254861,54580.3105742,47543.25066327,39230.0989106,20498.8728667,25891.35618221,32575.1394806624,37387.72492168,35508.59492731,33498.86897367,35250.68416667,31714.18083427,38091.58462649,35805.5516761,36702.00755563,53993.35757689,47438.89620837,51912.14813893,52667.90973504,55022.95985108,52221.67809485,49533.23343222,59612.3837067,62974.02951643,64888.47406999,60308.24923365,65473.84299875,91098.47759176,93932.63065859,99544.64560916,99014.77703282,100347.9209914,94057.10641484,84719.719564,91786.37974276,84712.80378416,73893.34875975,78402.68298543,66830.60053793,71769.93343283,64574.16892809,62570.97369597,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
PETROLIFEROS,MM$,53675.82044474,54446.52675882,66173.74143701,68426.43675427,71321.0861844,61998.24753962,67364.8297456,62298.31876465,58348.99448597,58960.42228549,54986.77023281,59066.94572967,54415.63977821,47397.26048709,39087.50792181,20423.6285226,25808.63894172,32454.2251082124,37265.60399393,35460.29468067,33393.00587396,35099.46191207,31600.99986948,37932.17223703,35556.49913806,36500.39355647,53684.80148472,47097.58907476,51638.8638748,52332.90668122,54652.47165312,51909.10792151,49186.20727308,59241.72710537,62692.38839686,64587.08859013,59961.81761116,65102.43875917,90711.13600387,93515.3835905,99110.95432115,98668.236556,100028.56236846,93820.03161882,84548.12549915,91494.09088845,84475.45932801,73714.37182009,78263.09884921,66639.22884828,71562.53497638,64440.58429459,62403.85113611,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
GASOLINAS (2),MM$,32342.43631257,32101.00296794,38898.30850144,42079.0980207,43216.9896297,37327.1856139,40988.07035552,37844.82955787,36081.60171872,36871.30252917,34587.04862126,37624.95433292,34361.20065558,30574.87426504,23639.68641841,12283.35733894,17390.53072873,21911.64785466,25131.7235686,24647.85080595,23683.34782593,24346.3056995,21407.99202987,25849.18744847,23993.36113396,24622.38834017,35601.83939704,31459.65872742,33886.03726754,34290.80373597,36493.17714629,34547.78221211,33372.9620732,39073.58360335,41214.67812817,42894.59705114,38859.94370667,42156.9612486,55415.0633581,54724.42929757,57431.554981,56659.8446875,57445.07313944,54908.10695978,48284.03558388,52500.05782508,47023.68200848,40776.45646776,43724.39194639,39194.02053552,42948.42605291,40269.38232106,39118.47125385,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
QUEROSENOS,MM$,4574.69539252,4077.46234101,5118.38100155,4808.39405946,4988.2692112,4514.82697429,5153.99986933,4690.39983185,4128.21712677,4163.30466967,4356.37392037,5142.0457432,4713.32958398,3698.12305935,2701.29352702,152.16433925,157.12866681,557.69063174,1240.43581181,1140.91120962,1155.00586597,1177.75417095,1420.87531641,2041.80209604,2056.0033306,1777.07024698,2472.38665684,2648.13539148,3050.35301894,3182.45203103,3877.9995661,3709.51401349,3230.44103414,4524.41077263,5314.41784951,5635.24857853,5791.04637979,5616.13438308,7956.89975864,9040.26672943,9532.36183083,9471.1426036,9340.04392298,8481.95781246,7501.03960773,8288.34732216,8188.61283576,7777.34497675,8776.2038621,6742.02865954,6865.73326925,5738.65309198,4861.24813497,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
DIESEL (3),MM$,14934.35171799,15800.77163289,18233.95151473,17706.31742957,18929.89369384,16237.22585448,16715.328953,16188.14351623,15227.91587213,15617.36785444,14686.63965619,14787.73849981,14110.24079514,11820.17727762,10900.3991791,7070.98047597,7083.37473913,8488.54555305,9399.26457142,8651.59694093,7594.13432348,8426.05427669,8056.41841502,9014.73563082,8171.5827289,8782.35785473,13083.34467183,11109.7913104,11912.33777113,11815.78840631,11547.21996222,11113.11202057,10730.89130987,13619.56176028,14700.1825952,13820.18597381,13512.91215366,15685.7501909,25162.7700782,26641.55903081,29171.96888863,29135.26835572,29440.11458698,28028.3390135,26699.33249383,28037.94550402,26695.38773183,23060.89017571,23474.3642314,18673.57794834,19645.439383,16364.79884722,15534.26261736,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
COMBUSTIBLE INDUSTRIAL,MM$,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
GASOLEO DOMESTICO,MM$,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
COMBUSTOLEO,MM$,1596.24357488,2160.33829461,3344.92966635,3124.04520179,3540.27512163,3165.30475235,3542.87077684,2737.06675621,2213.39721859,1720.22451456,763.61600929,881.48053808,664.90595105,824.35388215,1349.92104902,593.79929046,775.49889294,1033.69459228,1012.86823591,588.75707737,600.28436238,649.59861924,358.73201781,687.12472509,932.62171088,860.17907121,1939.68307584,1401.8872864,2277.51824402,2500.88757,2079.62161342,2079.72331573,1458.75898925,1511.34834976,870.17513962,1435.76173048,1285.83571676,1131.7463553,1336.99907538,2253.35991808,2043.43856042,2568.9234138,2755.26478653,1533.53066824,1412.22177441,1831.76945052,1741.21818364,1313.43642834,1447.27155443,1316.79788412,1229.28504841,1327.55357334,2054.11015404,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
OTROS,MM$,228.09344678,306.95152237,578.17075294,708.58204275,645.65852803,753.7043446,964.55979091,837.87910249,697.86254976,588.22271765,593.0920257,630.72661566,565.96279246,479.73200293,496.20774826,323.32707798,402.10591411,462.646476482362,481.31180619,431.1786468,360.2334962,499.74914569,356.98209037,339.32233661,402.93023372,458.39804338,587.54768317,478.11635906,512.61757317,542.97493791,654.45336509,458.97635961,393.15386662,512.82261935,592.93468436,801.29525617,512.07965428,511.84658129,839.40373355,855.76861461,931.63006027,833.05749538,1048.06593253,868.09716484,651.4960393,835.97078667,826.5585683,786.24377153,840.86725489,712.80382076,873.65122281,740.19646099,835.75897589,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
PETROQUIMICOS,MM$,241.02806935,241.10411651,213.37255629,143.91581465,290.44165232,216.3090079,244.1306126,219.23465467,176.87513147,177.04863908,111.80248483,147.13681894,164.67079599,145.99017618,142.59098879,75.2443441,82.71724049,120.91437245,122.12092775,48.30024664,105.86309971,151.2222546,113.18096479,159.41238946,249.05253804,201.61399916,308.55609217,341.30713361,273.28426413,335.00305382,370.48819796,312.57017334,347.02615914,370.65660133,281.64111957,301.38547986,346.43162249,371.40423958,387.34158789,417.24706809,433.69128801,346.54047682,319.35862294,237.07479602,171.59406485,292.28885431,237.34445615,178.97693966,139.58413622,191.37168965,207.39845645,133.5846335,167.12255986,N/D,N/D,N/D,N/D,N/D,N/D,N/D,
