Descriptores,Excedente bruto de operación|Economía Social|2013|Millones de pesos a precios corrientes<P>,Excedente bruto de operación|Economía Social|2018|Millones de pesos a precios corrientes<P>,Excedente bruto de operación|Economía Nacional|2013|Millones de pesos a precios corrientes<P>,Excedente bruto de operación|Economía Nacional|2018|Millones de pesos a precios corrientes<P>,Excedente bruto de operación|Total|2013|Participación porcentual<P>,Excedente bruto de operación|Total|2018|Participación porcentual<P>
Total,162142.585,271844.837,11012347.973,15958280.413,1.4723707029854773,1.7034719881565772
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",118337.731,199578.346,423414.341,661767.011,27.948446533073714,30.158400530682638
Industrias manufactureras,4758.744,8165.307,1865570.454,3018174.385,0.2550825318138535,0.27053794640166223
Comercio al por mayor,3287.363,3396.327,1231130.419,2150585.785,0.2670199203855991,0.1579256856289506
Comercio al por menor,436.462,793.317,1078686.001,1686467.271,0.040462347145710356,0.047040171821988476
"Transportes, correos y almacenamiento",1625.493,3201.085,708515.482,1064802.936,0.22942230131818064,0.300626976858749
Servicios financieros y de seguros,32444.381,54385.517,416324.926,702287.091,7.79304314726522,7.7440576682372875
"Servicios profesionales, científicos y técnicos",65.781,322.514,214984.605,281562.92,0.030598164924414008,0.11454403299979984
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",165.039,402.716,174567.538,249585.804,0.09454180650700363,0.16135368179834458
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",346.084,165.796,51417.469,67530.711,0.673086043966886,0.24551151845565491
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,163.388,151.233,254324.435,408160.555,0.06424376800443889,0.03705238983713162
Otros<C1>,512.119,1282.679,4593412.303,5667355.944,0.011148996473783186,0.022632757015340906
