Descriptores,Producto interno bruto|2013|Valor bruto de la producción<P>,Producto interno bruto|2013|Consumo intermedio<P>,Producto interno bruto|2013|Total<P>,"Producto interno bruto|2013|Remuneraciones<C1,P>",Producto interno bruto|2013|Excedente bruto de operación<P>,Producto interno bruto|2013|Impuestos netos de subsidios sobre la producción<P>,Producto interno bruto|2018|Valor bruto de la producción<P>,Producto interno bruto|2018|Consumo intermedio<P>,Producto interno bruto|2018|Total<P>,"Producto interno bruto|2018|Remuneraciones<C1,P>",Producto interno bruto|2018|Excedente bruto de operación<P>,Producto interno bruto|2018|Impuestos netos de subsidios sobre la producción<P>
Millones de pesos a precios corrientes|Total,312848.645,106248.344,206600.3,44521.868,162142.585,-64.153,525218.671,170512.857,354705.814,82976.807,271844.837,-115.83
Millones de pesos a precios corrientes|Total|Ejidos<C2>,207090.917,64641.551,142449.366,31647.661,110802.604,-0.899,369407.468,118556.486,250850.982,64497.474,186353.154,NS
Millones de pesos a precios corrientes|Total|Comunidades<C2>,12106.574,3702.716,8403.858,3772.429,4631.123,NS,23281.315,7762.397,15518.918,5690.502,9832.488,-4.071
Millones de pesos a precios corrientes|Total|Sociedades de Producción Rural<C3>,15787.275,11027.636,4759.639,1143.592,3585.398,30.649,13555.777,7221.94,6333.837,1604.19,4718.34,11.307
Millones de pesos a precios corrientes|Total|Sociedades de Solidaridad Social,1009.125,442.506,566.619,201.272,366.365,-1.018,615.557,353.656,261.901,81.883,169.711,10.307
Millones de pesos a precios corrientes|Total|Sociedades Cooperativas,19929.674,10557.135,9372.54,3396.71,6080.907,-105.078,31113.994,17047.097,14066.897,5318.31,8862.334,-113.747
Millones de pesos a precios corrientes|Total|Sociedades Cooperativas de Ahorro y Préstamo,38557.183,4958.408,33598.775,2016.069,31582.706,0,55200.549,1620.257,53580.292,3342.396,50237.896,0
Millones de pesos a precios corrientes|Total|Uniones de crédito,1863.18,1073.871,789.309,89.219,700.09,0,8304.506,6377.189,1927.318,309.308,1618.194,NS
Millones de pesos a precios corrientes|Total|Fondo de Aseguramiento Agropecuario y Rural,248.427,125.334,123.093,44.151,78.942,0,262.904,92.232,170.672,71.478,99.193,0
Millones de pesos a precios corrientes|Total|Sociedades mutualistas,70.282,31.621,38.661,16.123,22.521,NS,375.499,171.451,204.048,84.578,119.358,NS
Millones de pesos a precios corrientes|Total|Grupos empresariales,15710.165,9411.118,6299.048,2088.697,4195.681,14.67,20858.646,11018.945,9839.701,1868.216,7982.278,-10.793
Millones de pesos a precios corrientes|Total|Grupos empresariales|Núcleo cooperativista,13473.682,8769.997,4703.685,919.271,3784.262,NS,17536.853,9448.643,8088.21,776.957,7307.697,3.556
Millones de pesos a precios corrientes|Total|Grupos empresariales|Empresas el servicio de la economía social,2236.483,641.121,1595.362,1169.426,411.418,14.518,3321.793,1570.302,1751.491,1091.259,674.581,-14.349
Millones de pesos a precios corrientes|Total|Otros,475.841,276.447,199.394,105.944,96.249,-2.799,2242.456,291.207,1951.249,108.472,1851.889,-9.112
Participación porcentual|Total,99.99999999999999,100.00000000000001,100,100,99.99999999999996,NA,99.99999999999997,99.99999999999999,99.99999999999999,100.00000000000001,100.00000000000003,NA
Participación porcentual|Total|Ejidos<C2>,66.1952419770046,60.840055341978456,68.94925401065157,71.0834081474813,68.33652216228363,NA,70.33403195099572,69.52935284020113,70.72085429316576,77.72951998213293,68.55129447260698,NA
Participación porcentual|Total|Comunidades<C2>,3.8697863436393374,3.4849638629555106,4.067689015357513,8.473205739932563,2.856204125446702,NA,4.432689929209731,4.55238216316202,4.3751519247357935,6.857942357727017,3.6169485620867476,NA
Participación porcentual|Total|Sociedades de Producción Rural<C3>,5.046298119580256,10.379113280287292,2.3037910648787965,2.568607398261291,2.2112625466024793,NA,2.580977695969228,4.235422554130695,1.785659131786306,1.933298713552151,1.73567402431656,NA
Participación porcentual|Total|Sociedades de Solidaridad Social,0.32256012393677647,0.41648310560997887,0.27425834859393816,0.4520744708452373,0.22595209728562268,NA,0.1172001484756433,0.2074072553286473,0.0738361243756484,0.09868154453536397,0.06242944809152406,NA
Participación porcentual|Total|Sociedades Cooperativas,6.370388570699522,9.93628150797649,4.536556674771669,7.629307924057062,3.7503455921771875,NA,5.9240075735693365,9.997543403861444,3.9657926160180463,6.409393736564316,3.2600706393330996,NA
Participación porcentual|Total|Sociedades Cooperativas de Ahorro y Préstamo,12.32454851769814,4.666809664344123,16.262694167884234,4.528266854617068,19.478353541933682,NA,10.510012626054435,0.9502257124242942,15.105557750775048,4.02810856431498,18.48035679320445,NA
Participación porcentual|Total|Uniones de crédito,0.5955531633938304,1.01071817266857,0.38204623834784524,0.20039365741057485,0.4317740924474871,NA,1.5811521513103965,3.740004573236197,0.5433566635859695,0.3727649108710263,0.5952639293123558,NA
Participación porcentual|Total|Fondo de Aseguramiento Agropecuario y Rural,0.07940804738266787,0.11796324999292236,0.05958026187583845,0.09916699770603,0.048686777672164276,NA,0.05005611137389259,0.05409121603031398,0.04811637090696693,0.08614239219609827,0.0364889617594824,NA
Participación porcentual|Total|Sociedades mutualistas,0.02246517643472192,0.02976175883805029,0.018712762725770965,0.036213664560583496,0.013889394919389012,NA,0.07149384907918077,0.10055022601179574,0.057525975886909206,0.10193028524902309,0.043906842718625966,NA
Participación porcentual|Total|Grupos empresariales,5.021650474392999,8.857660743391572,3.0489053280487486,4.6913956786390285,2.587648740797847,NA,3.9714213039202817,6.462237024733355,2.7740456567665186,2.2514922153485997,2.9363360280094812,NA
