Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto<P>
Millones de pesos a precios de 2013|Total,312848.645,106248.344,206600.3,396838.671,127609.536,269229.135
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,70574.231,154826.935,300357.8,98323.44,202034.359
Millones de pesos a precios de 2013|Industrias manufactureras,22592.522,16144.59,6447.932,18641.437,11519.24,7122.197
Millones de pesos a precios de 2013|Comercio al por mayor,9586.376,5719.373,3867.003,4814.491,1965.274,2849.217
Millones de pesos a precios de 2013|Comercio al por menor,889.275,229.71,659.566,1217.484,365.295,852.189
"Millones de pesos a precios de 2013|Transportes, correos y almacenamiento",7927.772,5034.688,2893.084,10806.836,6230.549,4576.287
Millones de pesos a precios de 2013|Servicios financieros y de seguros,40878.045,6238.028,34640.017,54459.758,6333.675,48126.083
"Millones de pesos a precios de 2013|Servicios profesionales, científicos y técnicos",518.86,86.156,432.703,695.358,285.437,409.921
"Millones de pesos a precios de 2013|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,370.691,751.474,1031.981,377.619,654.362
"Millones de pesos a precios de 2013|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,621.816,846.21,1620.409,800.339,820.07
Millones de pesos a precios de 2013|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,263.03,253.443,409.009,192.051,216.959
Millones de pesos a precios de 2013|Otros<C1>,1947.964,966.031,981.933,2784.108,1216.616,1567.491
Participación porcentual|Total,100.00000000000001,100.00000000000001,100,100.00000000000001,99.99999921635953,99.99999999999999
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",72.047992051375,66.42384096699612,74.94032444257887,75.68763377901747,77.05022922424858,75.04178884651543
Participación porcentual|Industrias manufactureras,7.221550222609998,15.195144691924526,3.1209694928394227,4.6974849888054395,9.026942939436752,2.6454035147421915
Participación porcentual|Comercio al por mayor,3.0642217251415342,5.383022869656394,1.8717317727167286,1.2132111489709128,1.54006829082115,1.0582870238022344
Participación porcentual|Comercio al por menor,0.28425093589838263,0.21620057010034943,0.31924720009505464,0.3067957054014023,0.2862599547419403,0.31652926418977645
"Participación porcentual|Transportes, correos y almacenamiento",2.5340598794096088,4.7386041610043135,1.4003288082067504,2.723231577398363,4.882510504544112,1.6997740604856901
Participación porcentual|Servicios financieros y de seguros,13.066396705152137,5.87117655818144,16.76668284268647,13.723399955645958,4.963324214265618,17.875510761493178
"Participación porcentual|Servicios profesionales, científicos y técnicos",0.16585000728965596,0.08108941044454993,0.20943984263988208,0.17522435458413277,0.22367999206579672,0.1522572956303559
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.3586928117153124,0.3488913624415434,0.3637334034046081,0.26005051307109134,0.29591754020639965,0.24305021817196715
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.4692447718147365,0.585247803087941,0.4095878885277227,0.40832940900560577,0.6271780503927231,0.304599277489043
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.16508703770656077,0.24756146717657118,0.122672909738924,0.10306682032003883,0.1504989407688153,0.08058526058110316
Participación porcentual|Otros<C1>,0.6226538518870653,0.9092201389862449,0.4752813965655676,0.7015717477795909,0.9533895648676287,0.5822144768990176
Distribución porcentual|Total,100,33.96158049852786,66.03841950147215,100,32.15652740657425,67.84347259342576
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,31.310499540548953,68.68950045945105,99.99999966706375,32.73543753483346,67.2645621322303
Distribución porcentual|Industrias manufactureras,99.99999999999997,71.45988239836169,28.540117601638293,100,61.79373403455967,38.20626596544032
Distribución porcentual|Comercio al por mayor,100.00000000000003,59.66146738444913,40.338532615550896,100,40.819974531056346,59.180025468943654
Distribución porcentual|Comercio al por menor,100.00000000000001,25.83109547936729,74.16890452063272,100,30.00409040283076,69.99590959716924
"Distribución porcentual|Transportes, correos y almacenamiento",100.00000000000006,63.50697865202027,36.493021347979784,100,57.65377581375345,42.34622418624656
Distribución porcentual|Servicios financieros y de seguros,99.99999999999997,15.260093490283106,84.73990650971686,100,11.630009446608264,88.36999055339173
"Distribución porcentual|Servicios profesionales, científicos y técnicos",100,16.604910577911745,83.39508942208825,100,41.04892731513839,58.951072684861614
"Distribución porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,33.03356438657539,66.96643561342461,100,36.59166205579367,63.40833794420634
"Distribución porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,42.3572974490272,57.6427025509728,100,49.391172228739784,50.60882777126022
Distribución porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,50.92815773213585,49.07184226786414,100.00024449339745,46.95520147478417,53.04504301861328
Distribución porcentual|Otros<C1>,100,49.5918444051715,50.40815559482851,99.99996408185314,43.69859215231593,56.30137192953721
