Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto<P>
Millones de pesos a precios de 2013|Total,312848.645,106248.344,206600.3,396838.671,127609.536,269229.135
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,70574.231,154826.935,300357.8,98323.44,202034.359
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",140703.419,35009.272,105694.147,188160.102,46758.199,141401.903
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",61740.252,29439.904,32300.349,83517.225,42064.077,41453.148
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",16837.08,3889.87,12947.21,19574.578,4508.261,15066.317
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",5987.702,2161.837,3825.865,7862.289,4310.296,3551.993
"Millones de pesos a precios de 2013|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",132.713,73.348,59.365,1243.606,682.607,560.999
Millones de pesos a precios de 2013|Industrias manufactureras,22592.522,16144.59,6447.932,18641.437,11519.24,7122.197
Millones de pesos a precios de 2013|Comercio al por mayor,9586.376,5719.373,3867.003,4814.491,1965.274,2849.217
Millones de pesos a precios de 2013|Comercio al por menor,889.275,229.71,659.566,1217.484,365.295,852.189
"Millones de pesos a precios de 2013|Transportes, correos y almacenamiento",7927.772,5034.688,2893.084,10806.836,6230.549,4576.287
Millones de pesos a precios de 2013|Servicios financieros y de seguros,40878.045,6238.028,34640.017,54459.758,6333.675,48126.083
Millones de pesos a precios de 2013|Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,40605.727,6101.685,34504.042,54113.011,6205.823,47907.187
"Millones de pesos a precios de 2013|Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",272.318,136.343,135.975,346.747,127.852,218.895
"Millones de pesos a precios de 2013|Servicios profesionales, científicos y técnicos",518.86,86.156,432.703,695.358,285.437,409.921
"Millones de pesos a precios de 2013|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,370.691,751.474,1031.981,377.619,654.362
"Millones de pesos a precios de 2013|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,621.816,846.21,1620.409,800.339,820.07
Millones de pesos a precios de 2013|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,263.03,253.443,409.009,192.051,216.959
Millones de pesos a precios de 2013|Otros<C1>,1947.964,966.031,981.933,2784.108,1216.616,1567.491
Participación porcentual|Total,100,100.00000000000001,100,100.00000000000001,99.99999921635953,99.99999999999999
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",72.047992051375,66.42384096699612,74.94032444257887,75.68763377901747,77.05022922424858,75.04178884651543
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",62.42355408445883,49.606310162022275,68.26599444667194,62.645319016186704,47.55549541391147,69.9890373597295
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",27.391274528254975,41.7148058214532,20.862228357079694,27.80591181584098,42.78133169465998,20.517870428168113
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",7.469828245544824,5.511743335745706,8.362375378054733,6.517086621356263,4.58513351444986,7.457304329111664
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",2.656464564503657,3.063210395314805,2.4710590066884466,2.6176410268020343,4.383792918555331,1.7581133316041557
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",0.05887857723773571,0.10393028546400893,0.03834281150520754,0.4140415198140351,0.6942464584233423,0.27767504635189305
Participación porcentual|Industrias manufactureras,7.221550222609998,15.195144691924531,3.1209694928394236,4.6974849888054395,9.026942939436752,2.6454035147421915
Participación porcentual|Comercio al por mayor,3.0642217251415347,5.3830228696563935,1.8717317727167286,1.2132111489709128,1.54006829082115,1.0582870238022344
Participación porcentual|Comercio al por menor,0.28425093589838263,0.21620057010034946,0.31924720009505464,0.3067957054014023,0.2862599547419403,0.31652926418977645
"Participación porcentual|Transportes, correos y almacenamiento",2.5340598794096088,4.7386041610043135,1.4003288082067509,2.723231577398363,4.882510504544112,1.6997740604856901
Participación porcentual|Servicios financieros y de seguros,13.066396705152135,5.871176558181441,16.76668284268647,13.723399955645958,4.963324214265618,17.875510761493178
Participación porcentual|Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,99.33382822001396,97.81433230925906,99.60746139488137,99.36329684020997,97.98139310905596,99.54516140447166
"Participación porcentual|Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",0.6661717799860535,2.1856676907409605,0.3925386051186269,0.6367031597900233,2.0186068909440413,0.4548365176530157
"Participación porcentual|Servicios profesionales, científicos y técnicos",0.16585000728965596,0.08108941044454993,0.20943984263988208,0.17522435458413277,0.22367999206579672,0.1522572956303559
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.35869281171531237,0.3488913624415434,0.36373340340460814,0.26005051307109134,0.29591754020639965,0.24305021817196715
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.46924477181473645,0.585247803087941,0.40958788852772277,0.40832940900560577,0.6271780503927231,0.304599277489043
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.16508703770656077,0.24756146717657126,0.122672909738924,0.10306682032003883,0.1504989407688153,0.08058526058110316
Participación porcentual|Otros<C1>,0.6226538518870653,0.9092201389862449,0.4752813965655676,0.7015717477795909,0.9533895648676287,0.5822144768990176
Distribución porcentual|Total,100,33.96158049852786,66.03841950147213,100,32.15652740657425,67.84347259342576
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,31.310499540548953,68.68950045945104,99.99999966706375,32.73543753483346,67.2645621322303
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",100,24.881607180437946,75.11839281956203,99.99999999999999,24.850219840973512,75.14978015902648
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",100,47.68348428472737,52.31651571527263,99.99999999999999,50.36575029881559,49.634249701184395
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",100,23.10299936071724,76.89700063928275,100,23.031204044347724,76.96879595565227
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",99.99999999999999,36.104621517143876,63.89537848285611,100,54.822406044855384,45.177593955144616
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",100,55.268134998078565,44.73186500192144,100,54.88932990030604,45.110670099693955
Distribución porcentual|Industrias manufactureras,100,71.45988239836171,28.5401176016383,100,61.79373403455967,38.20626596544032
Distribución porcentual|Comercio al por mayor,100,59.661467384449104,40.33853261555089,100,40.819974531056346,59.180025468943654
Distribución porcentual|Comercio al por menor,100,25.831095479367292,74.16890452063271,100,30.00409040283076,69.99590959716924
"Distribución porcentual|Transportes, correos y almacenamiento",100,63.50697865202025,36.49302134797978,100,57.65377581375345,42.34622418624656
Distribución porcentual|Servicios financieros y de seguros,100,15.260093490283106,84.73990650971687,100,11.630009446608264,88.36999055339173
Distribución porcentual|Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,100,15.02666193859797,84.973338061402,99.9999981520156,11.468264074235309,88.5317340777803
"Distribución porcentual|Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",100,50.067406488002995,49.932593511997005,100,36.871840275474625,63.12815972452538
"Distribución porcentual|Servicios profesionales, científicos y técnicos",100,16.604910577911745,83.39508942208823,100,41.04892731513839,58.951072684861614
"Distribución porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,33.03356438657539,66.96643561342461,100,36.59166205579367,63.40833794420634
"Distribución porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,42.35729744902721,57.6427025509728,100,49.391172228739784,50.60882777126022
Distribución porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,50.92815773213586,49.071842267864135,100.00024449339745,46.95520147478417,53.04504301861328
Distribución porcentual|Otros<C1>,100,49.59184440517149,50.4081555948285,99.99996408185314,43.69859215231593,56.30137192953721
