Descriptores,Valor bruto de la producción|Economía Social|2013|Millones de pesos a precios de 2013<P>,Valor bruto de la producción|Economía Social|2018|Millones de pesos a precios de 2013<P>,Valor bruto de la producción|Economía Nacional|2013|Millones de pesos a precios de 2013<P>,Valor bruto de la producción|Economía Nacional|2018|Millones de pesos a precios de 2013<P>,Valor bruto de la producción|Total|2013|Participación porcentual<P>,Valor bruto de la producción|Total|2018|Participación porcentual<P>
Total,312848.645,396838.671,27642648.024,30876873.444,1.1317607647571744,1.2852294508371402
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,300357.8,810710.776,933698.76,27.802907438926074,32.1685979319497
Industrias manufactureras,22592.522,18641.437,9638159.956,10566582.052,0.2344070040250326,0.1764187975663486
Comercio al por mayor,9586.376,4814.491,1595699.102,1967496.993,0.6007633973688381,0.2447013142652361
Comercio al por menor,889.275,1217.484,1789766.725,2061811.267,0.04968665402110851,0.05904924565532506
"Transportes, correos y almacenamiento",7927.772,10806.836,1694286.582,2045789.869,0.46791210366794944,0.5282476056684393
Servicios financieros y de seguros,40878.045,54459.758,878079.648,1261845.291,4.655391466264801,4.315882334263116
"Servicios profesionales, científicos y técnicos",518.86,695.358,430799.397,479279.303,0.12044109244656165,0.14508408680439094
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,1031.981,678424.993,774894.984,0.16540746752824895,0.13317688477900896
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,1620.409,114551.86,123403.052,1.2815382559770832,1.3131028558353648
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,409.009,526266.932,610297.161,0.0981388965552561,0.06701800797005511
Otros<C1>,1947.964,2784.108,9485902.053,10051774.712,0.020535360008622158,0.027697676079789964
