Descriptores,Consumo intermedio|Economía Social|2013|Millones de pesos a precios de 2013<P>,Consumo intermedio|Economía Social|2018|Millones de pesos a precios de 2013<P>,Consumo intermedio|Economía Nacional|2013|Millones de pesos a precios de 2013<P>,Consumo intermedio|Economía Nacional|2018|Millones de pesos a precios de 2013<P>,Consumo intermedio|Total|2013|Participación porcentual<P>,Consumo intermedio|Total|2018|Participación porcentual<P>
Total,106248.344,127609.536,12000028.179,13175608.848,0.8854007900246152,0.9685285702707438
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",70574.231,98323.44,299805.082,339658.135,23.54003833995272,28.94776537591246
Industrias manufactureras,16144.59,11519.24,7061184.353,7633526.184,0.22863855186426962,0.15090326177362856
Comercio al por mayor,5719.373,1965.274,308702.052,387655.038,1.8527161174498936,0.5069646482964063
Comercio al por menor,229.71,365.295,334559.681,391550.499,0.06866025380352808,0.09329447949445724
"Transportes, correos y almacenamiento",5034.688,6230.549,682790.897,844261.01,0.7373690080112478,0.73798848060033
Servicios financieros y de seguros,6238.028,6333.675,310842.123,379952.322,2.00681549327856,1.6669657305055239
"Servicios profesionales, científicos y técnicos",86.156,285.437,119138.786,130517.907,0.07231579143336243,0.21869566143134672
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",370.691,377.619,101344.275,110168.871,0.365774283747158,0.3427637921423376
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",621.816,800.339,41187.246,45379.489,1.5097297372912724,1.7636580262065094
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,263.03,192.051,181496.1,204601.981,0.14492320220654878,0.09386566007882396
Otros<C1>,966.031,1216.616,2558977.584,2708337.412,0.0377506762761635,0.044921138503993756
