Descriptores,Producto interno bruto|Economía Social|2013|Millones de pesos a precios de 2013<P>,Producto interno bruto|Economía Social|2018|Millones de pesos a precios de 2013<P>,Producto interno bruto|Economía Nacional|2013|Millones de pesos a precios de 2013<P>,Producto interno bruto|Economía Nacional|2018|Millones de pesos a precios de 2013<P>,Producto interno bruto|Total|2013|Participación porcentual<P>,Producto interno bruto|Total|2018|Participación porcentual<P>
Total,206600.3,269229.135,15642619.845,17701264.596,1.3207525492703924,1.5209598926668686
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",154826.935,202034.359,510905.694,594040.625,30.304405924423417,34.0101923163925
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",105694.147,141401.903,313580.883,313580.883,33.70554547568836,45.09264137763143
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",32300.349,41453.148,166737.674,166737.674,19.37195598732729,24.86129679366884
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",12947.21,15066.317,17467.583,17467.583,74.1213568273827,86.25301508514373
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",3825.865,3551.993,11431.255,11431.255,33.46845934239065,31.072642505131764
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",59.365,560.999,1688.299,1688.299,3.51626104143875,33.22865203379259
Industrias manufactureras,6447.932,7122.197,2576975.603,2933055.868,0.25021317001713195,0.2428251393948559
Comercio al por mayor,3867.003,2849.217,1286997.05,1579841.955,0.30046715838678045,0.18034822983290122
Comercio al por menor,659.566,852.189,1455207.044,1670260.768,0.04532452457925298,0.05102131453524029
"Transportes, correos y almacenamiento",2893.084,4576.287,1011495.685,1201528.859,0.28602035252379754,0.38087200034535335
Servicios financieros y de seguros,34640.017,48126.083,567237.525,881892.969,6.106792232407403,5.457134220558685
Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,34504.042,47907.187,447286.293,714170.4,7.714084293658424,6.708089133909779
"Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",135.975,218.895,83139.905,132250.005,0.16355015079702098,0.16551606179523395
"Servicios profesionales, científicos y técnicos",432.703,409.921,311660.611,348761.396,0.13883799515492828,0.11753623098813379
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",751.474,654.362,577080.718,664726.113,0.13021996413333636,0.09844084461294511
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",846.21,820.07,73364.614,78023.563,1.1534304644470699,1.0510542821532005
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,253.443,216.959,344770.832,405695.18,0.07351045287961018,0.05347832823648534
Otros<C1>,981.933,1567.491,6926924.469,7343437.3,0.014175595494477158,0.021345467196948763
