Descriptores,"Personal ocupado|2013|Total<C1,P>","Personal ocupado|2013|Hombres<C1,P>","Personal ocupado|2013|Mujeres<C1,P>","Personal ocupado|2018|Total<C1,P>","Personal ocupado|2018|Hombres<C1,P>","Personal ocupado|2018|Mujeres<C1,P>"
Puestos de trabajo|Total,4164548,3399796,764752,4358131,3523311,834820
Puestos de trabajo|Total|Ejidos<C2>,3542331,2919698,622633,3721966,3035749,686217
Puestos de trabajo|Total|Comunidades<C2>,389871,296654,93217,355481,267314,88168
Puestos de trabajo|Total|Sociedades de Producción Rural<C3>,23089,17270,5819,31243,23632,7611
Puestos de trabajo|Total|Sociedades de Solidaridad Social,8068,6368,1700,4151,3374,777
Puestos de trabajo|Total|Sociedades Cooperativas,163493,137495,25998,197699,165778,31921
Puestos de trabajo|Total|Sociedades Cooperativas de Ahorro y Préstamo,22605,10649,11956,28381,13420,14961
Puestos de trabajo|Total|Uniones de crédito,916,444,472,1625,817,808
Puestos de trabajo|Total|Fondo de Aseguramiento Agropecuario y Rural,422,255,167,565,340,225
Puestos de trabajo|Total|Sociedades mutualistas,536,289,247,2060,1350,710
Puestos de trabajo|Total|Grupos empresariales,11444,9380,2064,12670,9962,2708
Puestos de trabajo|Total|Grupos empresariales|Núcleo cooperativista,7640,6793,847,9382,8158,1224
Puestos de trabajo|Total|Grupos empresariales|Empresas el servicio de la economía social,3804,2587,1217,3288,1804,1484
Puestos de trabajo|Total|Otros,1773,1294,479,2290,1575,715
Participación porcentual|Total,100,81.63660946225001,18.36339053775,100,80.84452983877743,19.155470161222574
Participación porcentual|Total|Ejidos<C2>,100,82.42306886543665,17.576931134563353,100,81.5630526245751,18.4369473754249
Participación porcentual|Total|Comunidades<C2>,99.99999999999999,76.09026557026442,23.90973442973557,100,75.19767702985227,24.802322970147724
Participación porcentual|Total|Sociedades de Producción Rural<C3>,100,74.79752262982373,25.202477370176275,100,75.63934321287968,24.360656787120316
Participación porcentual|Total|Sociedades de Solidaridad Social,100,78.92910262766485,21.07089737233515,100,81.28161888701517,18.718381112984822
Participación porcentual|Total|Sociedades Cooperativas,100,84.09840176643648,15.901598233563517,100,83.85373724702704,16.146262752972955
Participación porcentual|Total|Sociedades Cooperativas de Ahorro y Préstamo,100,47.10904667109047,52.89095332890953,100,47.28515556181953,52.71484443818047
Participación porcentual|Total|Uniones de crédito,100,48.47161572052402,51.52838427947598,100,50.276923076923076,49.723076923076924
Participación porcentual|Total|Fondo de Aseguramiento Agropecuario y Rural,100,60.426540284360186,39.573459715639814,100,60.176991150442475,39.823008849557525
Participación porcentual|Total|Sociedades mutualistas,100,53.917910447761194,46.082089552238806,100,65.53398058252426,34.46601941747573
Participación porcentual|Total|Grupos empresariales,100,81.96434813002446,18.03565186997553,100,78.6266771902131,21.3733228097869
Participación porcentual|Total|Grupos empresariales|Núcleo cooperativista,100,88.91361256544502,11.086387434554974,100,86.95374120656577,13.046258793434236
Participación porcentual|Total|Grupos empresariales|Empresas el servicio de la economía social,100,68.00736067297582,31.992639327024186,100,54.8661800486618,45.1338199513382
Participación porcentual|Total|Otros,100,72.98364354201918,27.016356457980823,100,68.77729257641921,31.222707423580786
