Descriptores,Personal remunerado|2013|Total<P>,Personal remunerado|2013|Hombres<P>,Personal remunerado|2013|Mujeres<P>,Personal remunerado|2018|Total<P>,Personal remunerado|2018|Hombres<P>,Personal remunerado|2018|Mujeres<P>
Puestos de trabajo|Total,1191582,1038351,153231,1734422,1517894,216528
Puestos de trabajo|Total|Ejidos<C1>,972781,856646,116136,1466534,1301214,165320
Puestos de trabajo|Total|Comunidades<C1>,102756,95252,7504,115576,100953,14624
Puestos de trabajo|Total|Sociedades de Producción Rural<C2>,16690,12235,4455,23690,17733,5957
Puestos de trabajo|Total|Sociedades de Solidaridad Social,3412,2204,1208,1579,1276,303
Puestos de trabajo|Total|Sociedades Cooperativas,66331,56227,10104,91254,77932,13322
Puestos de trabajo|Total|Sociedades Cooperativas de Ahorro y Préstamo,21518,10067,11451,25979,12378,13601
Puestos de trabajo|Total|Uniones de crédito,759,364,395,1245,606,639
Puestos de trabajo|Total|Fondo de Aseguramiento Agropecuario y Rural,364,213,151,496,283,213
Puestos de trabajo|Total|Sociedades mutualistas,218,139,79,983,664,319
Puestos de trabajo|Total|Grupos empresariales,5767,4421,1346,5446,3834,1612
Puestos de trabajo|Total|Grupos empresariales|Núcleo cooperativista,2274,2032,242,2823,2396,427
Puestos de trabajo|Total|Grupos empresariales|Empresas el servicio de la economía social,3493,2389,1104,2623,1438,1185
Puestos de trabajo|Total|Otros,986,583,403,1639,1021,618
Participación porcentual|Total,100,87.14052260543043,12.859477394569568,100,87.51585034648674,12.48414965351326
Participación porcentual|Total|Ejidos<C1>,100,88.06148052023767,11.938519479762334,100.00000000000001,88.72715262654054,11.27284737345947
Participación porcentual|Total|Comunidades<C1>,100,92.69770354600534,7.3022964539946535,100,87.34722234368587,12.652777656314129
Participación porcentual|Total|Sociedades de Producción Rural<C2>,100,73.30736968244457,26.692630317555423,100,74.85436893203884,25.145631067961165
Participación porcentual|Total|Sociedades de Solidaridad Social,100,64.5955451348183,35.40445486518171,100,80.81063964534515,19.189360354654845
Participación porcentual|Total|Sociedades Cooperativas,100,84.76730337248044,15.23269662751956,100,85.40118789313345,14.598812106866548
Participación porcentual|Total|Sociedades Cooperativas de Ahorro y Préstamo,100,46.784087740496325,53.215912259503675,100,47.64617575734247,52.35382424265753
Participación porcentual|Total|Uniones de crédito,100,47.957839262187086,52.042160737812914,100,48.674698795180724,51.325301204819276
Participación porcentual|Total|Fondo de Aseguramiento Agropecuario y Rural,100,58.51648351648352,41.48351648351648,100,57.056451612903224,42.943548387096776
Participación porcentual|Total|Sociedades mutualistas,100,63.76146788990825,36.23853211009175,100,67.54832146490335,32.45167853509664
Participación porcentual|Total|Grupos empresariales,100,76.66030865267903,23.339691347320965,100,70.40029379360999,29.59970620639001
Participación porcentual|Total|Grupos empresariales|Núcleo cooperativista,100,89.35795954265612,10.642040457343887,100,84.87424725469359,15.125752745306412
Participación porcentual|Total|Grupos empresariales|Empresas el servicio de la economía social,100,68.39393071858002,31.606069281419984,100,54.82272207396111,45.17727792603889
Participación porcentual|Total|Otros,100,59.12778904665314,40.87221095334686,100,62.294081757169,37.705918242831
