Descriptores,"Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2013|Total<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2013|Hombres<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2013|Mujeres<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2018|Total<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2018|Hombres<C1,P>","Personal no remunerado por sectores de actividad económica seleccionados, según sexo, 2013 y  2018|2018|Mujeres<C1,P>"
Puestos de trabajo|Total,2955957,2347404,608553,2606436,1992287,614149
Puestos de trabajo|Total|Ejidos<C2>,2569508,2063016,506491,2255255,1734432,520823
Puestos de trabajo|Total|Comunidades<C2>,287106,201398,85708,239845,166319,73526
Puestos de trabajo|Total|Sociedades de Producción Rural<C3>,3307,2529,778,5314,4284,1030
Puestos de trabajo|Total|Sociedades de Solidaridad Social,4166,3786,380,2529,2059,470
Puestos de trabajo|Total|Sociedades Cooperativas,90243,75559,14684,100798,83342,17456
Puestos de trabajo|Total|Sociedades Cooperativas de Ahorro y Préstamo,541,275,266,257,125,132
Puestos de trabajo|Total|Uniones de crédito,16,9,7,55,38,17
Puestos de trabajo|Total|Fondo de Aseguramiento Agropecuario y Rural,32,27,5,35,28,7
Puestos de trabajo|Total|Sociedades mutualistas,284,134,150,1001,636,365
Puestos de trabajo|Total|Grupos empresariales,36,7,29,826,559,267
Puestos de trabajo|Total|Grupos empresariales|Núcleo cooperativista,5,3,2,341,316,25
Puestos de trabajo|Total|Grupos empresariales|Empresas el servicio de la economía social,31,4,27,485,243,242
Puestos de trabajo|Total|Otros,718,663,55,521,465,56
Participación porcentual|Total,99.99999999999999,79.41265109865039,20.587348901349603,100,76.43721813461217,23.56278186538784
Participación porcentual|Total|Ejidos<C2>,100,80.2883878940446,19.7116121059554,100,76.90625668827772,23.093743311722285
Participación porcentual|Total|Comunidades<C2>,100,70.14769464719403,29.852305352805974,100,69.34435546372859,30.655644536271403
Participación porcentual|Total|Sociedades de Producción Rural<C3>,100,76.47414575143635,23.525854248563654,100,80.61723748588633,19.38276251411366
Participación porcentual|Total|Sociedades de Solidaridad Social,100,90.87854056649064,9.121459433509362,100,81.41557928034797,18.584420719652037
Participación porcentual|Total|Sociedades Cooperativas,100,83.72837782431878,16.271622175681216,100,82.68219607531896,17.317803924681044
Participación porcentual|Total|Sociedades Cooperativas de Ahorro y Préstamo,100,50.83179297597042,49.16820702402958,100,48.63813229571984,51.36186770428016
Participación porcentual|Total|Uniones de crédito,100,56.25,43.75,100,69.0909090909091,30.90909090909091
Participación porcentual|Total|Fondo de Aseguramiento Agropecuario y Rural,100,84.375,15.625,100,80,20
Participación porcentual|Total|Sociedades mutualistas,100,47.183098591549296,52.816901408450704,100,63.536463536463536,36.463536463536464
Participación porcentual|Total|Grupos empresariales,100,19.444444444444443,80.55555555555556,100,67.67554479418887,32.32445520581114
Participación porcentual|Total|Grupos empresariales|Núcleo cooperativista,100,60,40,100,92.66862170087977,7.331378299120234
Participación porcentual|Total|Grupos empresariales|Empresas el servicio de la economía social,100,12.903225806451612,87.09677419354838,100,50.103092783505154,49.896907216494846
Participación porcentual|Total|Otros,100,92.33983286908078,7.66016713091922,100,89.2514395393474,10.748560460652591
