Descriptores,"Personal dependiente de la razón social por clasificador funcional, según sexo, 2013 y 2018|2013|Total<C1,P>","Personal dependiente de la razón social por clasificador funcional, según sexo, 2013 y 2018|2013|Hombres<C1,P>","Personal dependiente de la razón social por clasificador funcional, según sexo, 2013 y 2018|2013|Mujeres<C1,P>","Personal dependiente de la razón social por clasificador funcional, según sexo, 2013 y 2018|2018|Total<C1,P>","Personal dependiente de la razón social por clasificador funcional, según sexo, 2013 y 2018|2018|Hombres<C1,P>","Personal dependiente de la razón social por clasificador funcional, según sexo, 2013 y 2018|2018|Mujeres<C1,P>"
Puestos de trabajo|Total,4147539,3385755,761784,4340858,3510181,830677
Puestos de trabajo|Total|Ejidos<C2>,3542289,2919663,622626,3721789,3035646,686143
Puestos de trabajo|Total|Comunidades<C2>,389862,296650,93212,355422,267272,88150
Puestos de trabajo|Total|Sociedades de Producción Rural<C3>,19997,14764,5233,29004,22017,6987
Puestos de trabajo|Total|Sociedades de Solidaridad Social,7578,5990,1588,4108,3335,773
Puestos de trabajo|Total|Sociedades Cooperativas,156574,131786,24788,192052,161274,30778
Puestos de trabajo|Total|Sociedades Cooperativas de Ahorro y Préstamo,22059,10342,11717,26236,12503,13733
Puestos de trabajo|Total|Uniones de crédito,775,373,402,1300,644,656
Puestos de trabajo|Total|Fondo de Aseguramiento Agropecuario y Rural,396,240,156,531,311,220
Puestos de trabajo|Total|Sociedades mutualistas,502,273,229,1984,1300,684
Puestos de trabajo|Total|Grupos empresariales,5803,4428,1375,6272,4393,1879
Puestos de trabajo|Total|Grupos empresariales|Núcleo cooperativista,2279,2035,244,3164,2712,452
Puestos de trabajo|Total|Grupos empresariales|Empresas el servicio de la economía social,3524,2393,1131,3108,1681,1427
Puestos de trabajo|Total|Otros,1704,1246,458,2160,1486,674
Participación porcentual|Total,100,81.63285753249747,18.367142467502536,100,80.86376760836815,19.136232391631854
Participación porcentual|Total|Ejidos<C2>,100,82.42302984233645,17.576970157663546,100,81.56416409560794,18.43583590439207
Participación porcentual|Total|Comunidades<C2>,100,76.09119129102406,23.908808708975936,100,75.19855446892075,24.801445531079253
Participación porcentual|Total|Sociedades de Producción Rural<C3>,100,73.83107466119918,26.168925338800822,100,75.9102192800993,24.089780719900702
Participación porcentual|Total|Sociedades de Solidaridad Social,100,79.04460279757191,20.95539720242808,100,81.18305744888023,18.816942551119766
Participación porcentual|Total|Sociedades Cooperativas,100,84.16850818143497,15.831491818565024,100,83.97413200591507,16.025867994084937
Participación porcentual|Total|Sociedades Cooperativas de Ahorro y Préstamo,100,46.883358266467205,53.116641733532795,100,47.65589266656502,52.34410733343498
Participación porcentual|Total|Uniones de crédito,100,48.12903225806452,51.87096774193548,100,49.53846153846154,50.46153846153846
Participación porcentual|Total|Fondo de Aseguramiento Agropecuario y Rural,100,60.60606060606061,39.39393939393939,100,58.568738229755176,41.431261770244824
Participación porcentual|Total|Sociedades mutualistas,100,54.38247011952191,45.61752988047809,100,65.5241935483871,34.475806451612904
Participación porcentual|Total|Grupos empresariales,100,76.30535929691538,23.694640703084612,100,70.04145408163265,29.958545918367346
Participación porcentual|Total|Grupos empresariales|Núcleo cooperativista,100,89.29354980254497,10.706450197455025,100,85.71428571428571,14.285714285714286
Participación porcentual|Total|Grupos empresariales|Empresas el servicio de la economía social,100,67.90578887627696,32.09421112372304,100,54.08622908622909,45.91377091377091
Participación porcentual|Total|Otros,100,73.12206572769954,26.877934272300468,100,85.71428571428571,14.285714285714286
