Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto|Total<P>,"2013|Producto interno bruto|Remuneraciones<C1,P>",2013|Producto interno bruto|Excedente bruto de operación<P>,2013|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto|Total<P>,"2018|Producto interno bruto|Remuneraciones<C1,P>",2018|Producto interno bruto|Excedente bruto de operación<P>,2018|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>
Millones de pesos a precios corrientes|Total,312848.645,106248.344,206600.3,44521.868,162142.585,-64.153,525218.671,170512.857,354705.814,82976.807,271844.837,-115.83
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,70574.231,154826.935,36666.999,118337.731,-177.794,404945.575,133338.459,271607.115,72283.094,199578.346,-254.325
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",55960.676,14364.194,41596.482,10070.704,31524.554,1.224,80644.333,20664.095,59980.238,16821.291,43157.218,1.729
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",14268.505,3829.721,10438.785,623.427,9815.051,NS,30322.309,8168.785,22153.523,2174.987,19977.899,0.637
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",31797.596,7538.585,24259.011,4604.34,19653.957,0.713,54532.751,12685.297,41847.453,7002.684,34843.567,1.202
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",5477.131,1224.121,4253.009,264.666,3988.219,NS,26747.895,6033.056,20714.84,550.428,20163.816,0.595
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",33199.511,8052.651,25146.861,9788.119,15358.003,0.739,56264.245,13736.441,42527.804,23221.088,19305.495,1.222
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",45363.152,21252.809,24110.343,5452.964,18656.67,0.709,77524.931,35886.066,41638.865,12890.099,28747.569,1.197
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",6330.2,3726.244,2603.956,392.082,2211.798,NS,13264.221,7715.98,5548.241,1527.384,4020.698,NS
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C2>",33004.395,10585.905,22418.489,5470.698,17129.48,-181.689,65644.89,28448.739,37196.15,8095.133,29362.083,-261.066
Millones de pesos a precios corrientes|Minería,353.438,155.419,198.019,83.361,113.817,0.841,885.428,442.936,442.492,192.787,245.545,4.16
"Millones de pesos a precios corrientes|Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",27.959,17.547,10.412,6.584,3.868,NS,39.624,25.146,14.478,6.946,8.655,-1.123
Millones de pesos a precios corrientes|Construcción,95.619,54.312,41.307,23.142,17.317,0.848,148.976,81.911,67.065,29.016,32.353,5.696
