Descriptores,Valor agregado bruto|Economía Social|2013|Millones de pesos a precios corrientes<P>,Valor agregado bruto|Economía Social|2018|Millones de pesos a precios corrientes<P>,Valor agregado bruto|Economía Nacional|2013|Millones de pesos a precios corrientes<P>,Valor agregado bruto|Economía Nacional|2018|Millones de pesos a precios corrientes<P>,Valor agregado bruto|Total|2013|Participación porcentual<P>,Valor agregado bruto|Total|2018|Participación porcentual<P>
Total,312848.645,525218.671,27642648.024,39884125.336,1.1317607647571744,1.3168614489910677
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,404945.575,810710.776,1239426.735,27.802907438926074,32.67200580720156
Industrias manufactureras,22592.522,25102.247,9638159.956,14721007.753,0.2344070040250326,0.17051989220564331
Comercio al por mayor,9586.376,6682.514,1595699.102,2731836.863,0.6007633973688381,0.24461613431270257
Comercio al por menor,889.275,1588.817,1789766.725,2690019.388,0.04968665402110851,0.05906339757577986
"Transportes, correos y almacenamiento",7927.772,12234.713,1694286.582,2472395.787,0.46791210366794944,0.49485252548685077
Servicios financieros y de seguros,40878.045,66484.167,878079.648,1381313.842,4.655391466264801,4.813110915155398
"Servicios profesionales, científicos y técnicos",518.86,842.009,430799.397,580038.298,0.12044109244656165,0.1451643801630492
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,1242.656,678424.993,912702.605,0.16540746752824895,0.1361512493984829
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,1956.713,114551.86,149127.804,1.2815382559770832,1.3121047500974399
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,521.324,526266.932,774090.095,0.0981388965552561,0.06734666305218645
Otros<C1>,1947.964,3617.937,9485902.053,12232166.166,0.020535360008622158,0.029577236467374528
