Descriptores,Consumo intermedio|Economía Social|2013|Millones de pesos a precios corrientes<P>,Consumo intermedio|Economía Social|2018|Millones de pesos a precios corrientes<P>,Consumo intermedio|Economía Nacional|2013|Millones de pesos a precios corrientes<P>,Consumo intermedio|Economía Nacional|2018|Millones de pesos a precios corrientes<P>,Consumo intermedio|Total|2013|Participación porcentual<P>,Consumo intermedio|Total|2018|Participación porcentual<P>
Total,106248.344,170512.857,12000028.179,17662935.376,0.8854007900246152,0.9653710041825784
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",70574.231,133338.459,299805.082,443408.33,23.54003833995272,30.071257198298028
Industrias manufactureras,16144.59,15312.863,7061184.353,10594038.234,0.22863855186426962,0.14454226248547633
Comercio al por mayor,5719.373,2507.689,308702.052,494762.044,1.8527161174498936,0.5068475673125805
Comercio al por menor,229.71,467.578,334559.681,501320,0.06866025380352808,0.09326931780100534
"Transportes, correos y almacenamiento",5034.688,7059.154,682790.897,1013085.659,0.7373690080112478,0.6967973589684381
Servicios financieros y de seguros,6238.028,8270.251,310842.123,451770.362,2.00681549327856,1.8306316252842145
"Servicios profesionales, científicos y técnicos",86.156,337.052,119138.786,153928.84,0.07231579143336243,0.21896642370591501
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",370.691,452.968,101344.275,132813.097,0.365774283747158,0.3410568130942689
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",621.816,964.215,41187.246,54255.737,1.5097297372912724,1.7771675021205593
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,263.03,242.562,181496.1,257049.309,0.14492320220654878,0.0943638436312622
Otros<C1>,966.031,1560.065,2558977.584,3566503.764,0.0377506762761635,0.04374213277852579
