Descriptores,Producto interno bruto|Economía Social|2013|Millones de pesos<P>,Producto interno bruto|Economía Social|2018|Millones de pesos<P>,Producto interno bruto|Economía Nacional|2013|Millones de pesos<P>,Producto interno bruto|Economía Nacional|2018|Millones de pesos<P>,Producto interno bruto|Total|2013|Participación porcentual<P>,Producto interno bruto|Total|2018|Participación porcentual<P>
Total,206600.3,354705.814,15642619.845,22221189.96,1.3207525492703924,1.5962503126437064
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",154826.935,271607.115,510905.694,796018.405,30.304405924423417,34.12070798566906
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Agricultura",105694.147,187223.859,313580.883,506338.607,33.70554547568836,36.9760188277759
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cría y explotación de animales",32300.349,61870.629,166737.674,241035.259,19.37195598732729,25.668704909375016
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Aprovechamiento forestal",12947.21,17453.86,17467.583,23450.844,74.1213568273827,74.42742674572588
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Pesca, caza y captura",3825.865,4343.026,11431.255,22061.66,33.46845934239065,19.68585364836553
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Servicios relacionados con las actividades agropecuarias y forestales",59.365,715.742,1688.299,3132.035,3.51626104143875,22.85228696358757
Industrias manufactureras,6447.932,9789.384,2576975.603,4126969.519,0.25021317001713195,0.23720514423309944
Comercio al por mayor,3867.003,4174.824,1286997.05,2237074.819,0.30046715838678045,0.18661979074379811
Comercio al por menor,659.566,1121.239,1455207.044,2188699.388,0.04532452457925298,0.05122855647273568
"Transportes, correos y almacenamiento",2893.084,5175.559,1011495.685,1459310.128,0.28602035252379754,0.35465791518168654
Servicios financieros y de seguros,34640.017,58213.916,567237.525,929543.48,6.106792232407403,6.262635092811518
Servicios financieros y de seguros|Instituciones de intermediación crediticia y financiera no bursátil,34504.042,58005.279,447286.293,720526.874,7.714084293658424,8.050397774555044
"Servicios financieros y de seguros|Compañías de fianzas, seguros y pensiones",135.975,208.637,83139.905,150410.53,0.16355015079702098,0.13871153293216185
"Servicios profesionales, científicos y técnicos",432.703,504.957,311660.611,426109.458,0.13883799515492828,0.11850394646720093
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",751.474,789.688,577080.718,779889.508,0.13021996413333636,0.10125638002556636
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",846.21,992.498,73364.614,94872.067,1.1534304644470699,1.046143196184394
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,253.443,278.762,344770.832,517040.786,0.07351045287961018,0.053914942021614516
Otros<C1>,981.933,2057.872,6926924.469,8665662.402,0.014175595494477158,0.023747427542585225
