Descriptores,Producto interno bruto|Economía Social|2013|Millones de pesos a precios corrientes<P>,Producto interno bruto|Economía Social|2018|Millones de pesos a precios corrientes<P>,Producto interno bruto|Economía Nacional|2013|Millones de pesos a precios corrientes<P>,Producto interno bruto|Economía Nacional|2018|Millones de pesos a precios corrientes<P>,Producto interno bruto|Total|2013|Participación porcentual<P>,Producto interno bruto|Total|2018|Participación porcentual<P>
Total,206600.3,354705.814,15642619.845,22221189.96,1.3207525492703927,1.5962503126437069
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",154826.935,271607.115,510905.694,796018.405,30.30440592442342,34.12070798566906
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de semillas oleaginosas, leguminosas y cereales",41596.482,59980.238,108472.57,125933.327,38.34746587553596,47.62856640418989
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de hortalizas",10438.785,22153.523,50139.905,78332.964,20.819315245497393,28.28122696283365
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo de frutales y nueces",24259.011,41847.453,70005.314,127603.961,34.65309891853464,32.79479170939805
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Cultivo en invernaderos y viveros, y floricultura",4253.009,20714.84,22496.753,67833.253,18.90499139571112,30.53788344140049
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros cultivos",25146.861,42527.804,62466.341,106635.102,40.25665685173584,39.881618050424954
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación de bovinos",24110.343,41638.865,79247.46,126835.996,30.424120955522042,32.82890232960151
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Explotación avícola",2603.956,5548.241,62928.508,74884.69,4.137959271118494,7.4090462580310765
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|Otros<C1>",22418.489,37196.15,55148.843,87959.112,40.65087850089802,42.288001108642156
Industrias manufactureras,6447.932,9789.384,2576975.603,4126969.519,0.25021317001713184,0.23720514423309946
Comercio al por mayor,3867.003,4174.824,1286997.05,2237074.819,0.30046715838678045,0.18661979074379811
Comercio al por menor,659.566,1121.239,1455207.044,2188699.388,0.04532452457925298,0.05122855647273567
"Transportes, correos y almacenamiento",2893.084,5175.559,1011495.685,1459310.128,0.28602035252379754,0.35465791518168616
Servicios financieros y de seguros,34640.017,58213.916,567237.525,929543.48,6.106792232407403,6.262635092811518
Servicios financieros y de seguros|Uniones de crédito e instituciones de ahorro,34496.597,57950.905,37343.263,67931.092,92.37702842410957,85.30836723420701
Servicios financieros y de seguros|Otros<C2>,143.42,263.011,529894.262,861612.388,0.027065860169665317,0.030525414387889364
"Servicios profesionales, científicos y técnicos",432.703,504.957,311660.611,426109.458,0.13883799515492828,0.11850394646720093
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",751.474,789.688,577080.718,779889.508,0.13021996413333636,0.10125638002556636
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",846.21,992.498,73364.614,94872.067,1.1534304644470699,1.0461431961843939
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,253.443,278.762,344770.832,517040.786,0.07351045287961018,0.053914942021614516
Servicios de alojamiento temporal y de preparación de alimentos y bebidas|Otros<C3>,981.933,2057.872,6926924.469,8665662.402,0.014175595494477158,0.023747427542585225
