Descriptores,"Remuneraciones|Economía Social|2013|Millones de pesos a precios corrientes<C1,P>","Remuneraciones|Economía Social|2018|Millones de pesos a precios corrientes<C1,P>","Remuneraciones|Economía Nacional|2013|Millones de pesos a precios corrientes<C1,P>","Remuneraciones|Economía Nacional|2018|Millones de pesos a precios corrientes<C1,P>","Remuneraciones|Total|2013|Participación porcentual<C1,P>","Remuneraciones|Total|2018|Participación porcentual<C1,P>"
Total,44521.868,82976.807,4542853.366,6132223.715,0.9800419383222739,1.353127528962587
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",36666.999,72283.094,87476.324,134228.505,41.91648332872272,53.85077809474368
Industrias manufactureras,1665.906,1565.847,678914.798,1063350.168,0.24537777124722507,0.1472560072045806
Comercio al por mayor,554.726,760.673,46556.468,70609.121,1.1915122083573866,1.0773013305179087
Comercio al por menor,220.737,321.462,370734.333,493704.205,0.05954047962425967,0.0651122669696524
"Transportes, correos y almacenamiento",1227.345,1955.303,304755.232,397769.998,0.40273139592891377,0.49156623421357176
Servicios financieros y de seguros,2195.616,3828.399,135314.983,207036.488,1.6225963683563407,1.8491420979838809
"Servicios profesionales, científicos y técnicos",362.813,181.626,96235.14,144081.134,0.37700677735804194,0.12605814165788007
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",582.901,365.381,402067.461,529725.667,0.1449759198494304,0.06897551369735686
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",493.111,843.312,19462.1,24230.967,2.533698830033758,3.4803068321623316
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,89.361,126.379,90013.187,108249.338,0.0992754539398766,0.116748058080503
Otros<C2>,462.353,745.331,2311323.34,2959238.124,0.020003839758984433,0.025186584139857478
