fecha,ciudad_de_mexico
31/03/2012,1886440
30/06/2012,1980425
30/09/2012,1935290
31/12/2012,1968480
31/03/2013,1913237
30/06/2013,1947900
30/09/2013,2026742
31/12/2013,2017361
31/03/2014,1942077
30/06/2014,1977278
30/09/2014,1984465
31/12/2014,1923611
31/03/2015,1913374
30/06/2015,1974428
30/09/2015,2057569
31/12/2015,1937829
31/03/2016,1962308
30/06/2016,1934501
30/09/2016,1960810
31/12/2016,1926040
31/03/2017,1945818
30/06/2017,1980091
30/09/2017,2056331
31/12/2017,2054657
31/03/2018,2065456
30/06/2018,2121803
30/09/2018,2048160
31/12/2018,2033638
31/03/2019,2036091
30/06/2019,2040881
30/09/2019,2060821
31/12/2019,2105762
31/03/2020,2055382
30/09/2020,1700281
31/12/2020,1829622
31/03/2021,1811826
30/06/2021,1924527
30/09/2021,2126013
31/12/2021,2114965
31/03/2022,2055301
30/06/2022,2095642
30/09/2022,2124193
31/12/2022,2220223
31/03/2023,2152638
